date,total_below_200dma,total_stocks,pct_below_200dma
2016-02-12,850,1136,74.82
2016-02-15,775,1136,68.22
2016-02-16,823,1137,72.38
2016-02-17,835,1138,73.37
2016-02-18,817,1139,71.73
2016-02-19,812,1139,71.29
2016-02-22,800,1140,70.18
2016-02-23,833,1140,73.07
2016-02-24,858,1142,75.13
2016-02-25,874,1142,76.53
2016-02-26,890,1142,77.93
2016-02-29,902,1142,78.98
2016-03-01,845,1143,73.93
2016-03-02,810,1143,70.87
2016-03-03,777,1143,67.98
2016-03-04,765,1143,66.93
2016-03-08,750,1144,65.56
2016-03-09,746,1146,65.1
2016-03-10,746,1146,65.1
2016-03-11,750,1146,65.45
2016-03-14,740,1147,64.52
2016-03-15,757,1148,65.94
2016-03-16,757,1148,65.94
2016-03-17,759,1148,66.11
2016-03-18,750,1148,65.33
2016-03-21,725,1148,63.15
2016-03-22,709,1148,61.76
2016-03-23,697,1148,60.71
2016-03-28,735,1148,64.02
2016-03-29,741,1148,64.55
2016-03-30,686,1148,59.76
2016-03-31,694,1148,60.45
2016-04-01,668,1148,58.19
2016-04-04,628,1148,54.7
2016-04-05,668,1148,58.19
2016-04-06,625,1148,54.44
2016-04-07,639,1148,55.66
2016-04-08,616,1148,53.66
2016-04-11,593,1148,51.66
2016-04-12,571,1148,49.74
2016-04-13,524,1148,45.64
2016-04-18,510,1148,44.43
2016-04-20,481,1148,41.9
2016-04-21,487,1148,42.42
2016-04-22,483,1148,42.07
2016-04-25,511,1149,44.47
2016-04-26,488,1149,42.47
2016-04-27,474,1149,41.25
2016-04-28,510,1149,44.39
2016-04-29,513,1149,44.65
2016-05-02,512,1149,44.56
2016-05-03,513,1149,44.65
2016-05-04,551,1149,47.95
2016-05-05,552,1149,48.04
2016-05-06,562,1149,48.91
2016-05-09,525,1149,45.69
2016-05-10,521,1149,45.34
2016-05-11,526,1149,45.78
2016-05-12,493,1149,42.91
2016-05-13,512,1149,44.56
2016-05-16,496,1149,43.17
2016-05-17,492,1149,42.82
2016-05-18,481,1149,41.86
2016-05-19,504,1150,43.83
2016-05-20,513,1150,44.61
2016-05-23,549,1152,47.66
2016-05-24,572,1152,49.65
2016-05-25,543,1152,47.14
2016-05-26,520,1152,45.14
2016-05-27,519,1152,45.05
2016-05-30,512,1152,44.44
2016-05-31,537,1152,46.61
2016-06-01,516,1152,44.79
2016-06-02,498,1152,43.23
2016-06-03,518,1152,44.97
2016-06-06,518,1153,44.93
2016-06-07,491,1153,42.58
2016-06-08,460,1153,39.9
2016-06-09,469,1155,40.61
2016-06-10,464,1155,40.17
2016-06-13,468,1155,40.52
2016-06-14,447,1156,38.67
2016-06-15,420,1156,36.33
2016-06-16,431,1156,37.28
2016-06-17,425,1158,36.7
2016-06-20,415,1158,35.84
2016-06-21,415,1160,35.78
2016-06-22,419,1161,36.09
2016-06-23,422,1161,36.35
2016-06-24,482,1161,41.52
2016-06-27,451,1161,38.85
2016-06-28,416,1161,35.83
2016-06-29,385,1162,33.13
2016-06-30,354,1162,30.46
2016-07-01,335,1162,28.83
2016-07-04,315,1162,27.11
2016-07-05,308,1163,26.48
2016-07-07,308,1164,26.46
2016-07-08,315,1164,27.06
2016-07-11,300,1164,25.77
2016-07-12,308,1165,26.44
2016-07-13,316,1166,27.1
2016-07-14,309,1166,26.5
2016-07-15,321,1166,27.53
2016-07-18,334,1166,28.64
2016-07-19,335,1166,28.73
2016-07-20,316,1166,27.1
2016-07-21,324,1166,27.79
2016-07-22,314,1166,26.93
2016-07-25,297,1166,25.47
2016-07-26,312,1166,26.76
2016-07-27,315,1166,27.02
2016-07-28,313,1166,26.84
2016-07-29,327,1166,28.04
2016-08-01,337,1166,28.9
2016-08-02,356,1166,30.53
2016-08-03,381,1166,32.68
2016-08-04,379,1167,32.48
2016-08-05,352,1167,30.16
2016-08-08,344,1167,29.48
2016-08-09,344,1167,29.48
2016-08-10,380,1167,32.56
2016-08-11,381,1167,32.65
2016-08-12,384,1167,32.9
2016-08-16,413,1167,35.39
2016-08-17,403,1167,34.53
2016-08-18,384,1167,32.9
2016-08-19,368,1167,31.53
2016-08-22,364,1167,31.19
2016-08-23,378,1167,32.39
2016-08-24,360,1168,30.82
2016-08-25,358,1168,30.65
2016-08-26,372,1168,31.85
2016-08-29,383,1168,32.79
2016-08-30,367,1169,31.39
2016-08-31,375,1169,32.08
2016-09-01,383,1170,32.74
2016-09-02,360,1170,30.77
2016-09-06,345,1171,29.46
2016-09-07,353,1171,30.15
2016-09-08,336,1171,28.69
2016-09-09,337,1171,28.78
2016-09-12,375,1171,32.02
2016-09-14,364,1171,31.08
2016-09-15,345,1171,29.46
2016-09-16,356,1171,30.4
2016-09-19,337,1171,28.78
2016-09-20,342,1171,29.21
2016-09-21,331,1173,28.22
2016-09-22,316,1174,26.92
2016-09-23,325,1174,27.68
2016-09-26,339,1174,28.88
2016-09-27,334,1175,28.43
2016-09-28,319,1175,27.15
2016-09-29,444,1175,37.79
2016-09-30,393,1175,33.45
2016-10-03,332,1176,28.23
2016-10-04,320,1176,27.21
2016-10-05,296,1176,25.17
2016-10-06,299,1176,25.43
2016-10-07,290,1177,24.64
2016-10-10,280,1177,23.79
2016-10-13,312,1177,26.51
2016-10-14,293,1177,24.89
2016-10-17,300,1179,25.45
2016-10-18,261,1179,22.14
2016-10-19,256,1179,21.71
2016-10-20,237,1179,20.1
2016-10-21,230,1179,19.51
2016-10-24,221,1179,18.74
2016-10-25,215,1179,18.24
2016-10-26,219,1179,18.58
2016-10-27,231,1179,19.59
2016-10-28,229,1180,19.41
2016-11-01,214,1180,18.14
2016-11-02,245,1180,20.76
2016-11-03,251,1180,21.27
2016-11-04,303,1180,25.68
2016-11-07,279,1180,23.64
2016-11-08,283,1180,23.98
2016-11-09,353,1180,29.92
2016-11-10,302,1180,25.59
2016-11-11,386,1180,32.71
2016-11-15,528,1180,44.75
2016-11-16,522,1180,44.24
2016-11-17,563,1180,47.71
2016-11-18,561,1180,47.54
2016-11-21,660,1180,55.93
2016-11-22,627,1180,53.14
2016-11-23,562,1180,47.63
2016-11-24,554,1180,46.95
2016-11-25,502,1180,42.54
2016-11-28,483,1180,40.93
2016-11-29,457,1180,38.73
2016-11-30,423,1180,35.85
2016-12-01,450,1181,38.1
2016-12-02,492,1181,41.66
2016-12-05,473,1181,40.05
2016-12-06,472,1181,39.97
2016-12-07,478,1182,40.44
2016-12-08,448,1182,37.9
2016-12-09,432,1182,36.55
2016-12-12,455,1182,38.49
2016-12-13,460,1183,38.88
2016-12-14,477,1183,40.32
2016-12-15,478,1183,40.41
2016-12-16,495,1183,41.84
2016-12-19,497,1183,42.01
2016-12-20,516,1184,43.58
2016-12-21,525,1184,44.34
2016-12-22,561,1184,47.38
2016-12-23,563,1184,47.55
2016-12-26,638,1188,53.7
2016-12-27,603,1188,50.76
2016-12-28,580,1188,48.82
2016-12-29,557,1188,46.89
2016-12-30,534,1188,44.95
2017-01-02,499,1188,42.0
2017-01-03,476,1188,40.07
2017-01-04,460,1189,38.69
2017-01-05,428,1189,36.0
2017-01-06,429,1189,36.08
2017-01-09,427,1189,35.91
2017-01-10,415,1189,34.9
2017-01-11,396,1189,33.31
2017-01-12,399,1189,33.56
2017-01-13,401,1189,33.73
2017-01-16,394,1189,33.14
2017-01-17,386,1189,32.46
2017-01-18,379,1190,31.85
2017-01-19,366,1192,30.7
2017-01-20,405,1193,33.95
2017-01-23,398,1193,33.36
2017-01-24,371,1193,31.1
2017-01-25,358,1193,30.01
2017-01-27,348,1193,29.17
2017-01-30,347,1193,29.09
2017-01-31,378,1193,31.68
2017-02-01,345,1194,28.89
2017-02-02,335,1194,28.06
2017-02-03,311,1194,26.05
2017-02-06,282,1194,23.62
2017-02-07,300,1194,25.13
2017-02-08,292,1194,24.46
2017-02-09,289,1194,24.2
2017-02-10,302,1194,25.29
2017-02-13,329,1194,27.55
2017-02-14,351,1194,29.4
2017-02-15,415,1194,34.76
2017-02-16,394,1194,33.0
2017-02-17,379,1194,31.74
2017-02-20,353,1194,29.56
2017-02-21,339,1194,28.39
2017-02-22,353,1194,29.56
2017-02-23,357,1195,29.87
2017-02-27,376,1195,31.46
2017-02-28,359,1195,30.04
2017-03-01,343,1195,28.7
2017-03-02,375,1196,31.35
2017-03-03,374,1196,31.27
2017-03-06,363,1196,30.35
2017-03-07,370,1196,30.94
2017-03-08,383,1197,32.0
2017-03-09,395,1197,33.0
2017-03-10,392,1197,32.75
2017-03-14,381,1197,31.83
2017-03-15,378,1197,31.58
2017-03-16,352,1197,29.41
2017-03-17,346,1197,28.91
2017-03-20,351,1197,29.32
2017-03-21,357,1197,29.82
2017-03-22,379,1197,31.66
2017-03-23,356,1197,29.74
2017-03-24,347,1197,28.99
2017-03-27,356,1197,29.74
2017-03-28,355,1197,29.66
2017-03-29,346,1197,28.91
2017-03-30,336,1198,28.05
2017-03-31,321,1198,26.79
2017-04-03,278,1198,23.21
2017-04-05,246,1201,20.48
2017-04-06,247,1202,20.55
2017-04-07,257,1202,21.38
2017-04-10,246,1203,20.45
2017-04-11,235,1203,19.53
2017-04-12,244,1203,20.28
2017-04-13,243,1203,20.2
2017-04-17,237,1203,19.7
2017-04-18,253,1204,21.01
2017-04-19,252,1204,20.93
2017-04-20,222,1204,18.44
2017-04-21,223,1205,18.51
2017-04-24,217,1205,18.01
2017-04-25,211,1209,17.45
2017-04-26,225,1210,18.6
2017-04-27,225,1210,18.6
2017-04-28,228,1212,18.81
2017-05-02,228,1212,18.81
2017-05-03,236,1214,19.44
2017-05-04,240,1215,19.75
2017-05-05,263,1217,21.61
2017-05-08,255,1218,20.94
2017-05-09,238,1218,19.54
2017-05-10,229,1219,18.79
2017-05-11,232,1219,19.03
2017-05-12,241,1219,19.77
2017-05-15,238,1220,19.51
2017-05-16,240,1220,19.67
2017-05-17,239,1220,19.59
2017-05-18,275,1220,22.54
2017-05-19,295,1220,24.18
2017-05-22,320,1220,26.23
2017-05-23,375,1220,30.74
2017-05-24,437,1221,35.79
2017-05-25,394,1222,32.24
2017-05-26,357,1222,29.21
2017-05-29,400,1222,32.73
2017-05-30,401,1222,32.82
2017-05-31,399,1222,32.65
2017-06-01,395,1222,32.32
2017-06-02,378,1222,30.93
2017-06-05,372,1223,30.42
2017-06-06,396,1224,32.35
2017-06-07,387,1224,31.62
2017-06-08,382,1224,31.21
2017-06-09,371,1224,30.31
2017-06-12,394,1224,32.19
2017-06-13,385,1224,31.45
2017-06-14,383,1224,31.29
2017-06-15,374,1224,30.56
2017-06-16,359,1224,29.33
2017-06-19,360,1224,29.41
2017-06-20,362,1224,29.58
2017-06-21,371,1225,30.29
2017-06-22,376,1226,30.67
2017-06-23,410,1226,33.44
2017-06-27,461,1227,37.57
2017-06-28,454,1227,37.0
2017-06-29,437,1228,35.59
2017-06-30,434,1228,35.34
2017-07-03,406,1228,33.06
2017-07-04,405,1229,32.95
2017-07-05,385,1229,31.33
2017-07-06,361,1231,29.33
2017-07-07,356,1232,28.9
2017-07-10,347,1232,28.17
2017-07-11,362,1232,29.38
2017-07-12,345,1232,28.0
2017-07-13,340,1232,27.6
2017-07-14,350,1233,28.39
2017-07-17,356,1234,28.85
2017-07-18,374,1234,30.31
2017-07-19,351,1234,28.44
2017-07-20,338,1236,27.35
2017-07-21,337,1236,27.27
2017-07-24,339,1236,27.43
2017-07-25,344,1237,27.81
2017-07-26,329,1237,26.6
2017-07-27,357,1237,28.86
2017-07-28,349,1237,28.21
2017-07-31,359,1237,29.02
2017-08-01,356,1237,28.78
2017-08-02,366,1238,29.56
2017-08-03,398,1238,32.15
2017-08-04,410,1238,33.12
2017-08-07,383,1239,30.91
2017-08-08,426,1239,34.38
2017-08-09,467,1239,37.69
2017-08-10,569,1239,45.92
2017-08-11,589,1239,47.54
2017-08-14,530,1239,42.78
2017-08-16,502,1240,40.48
2017-08-17,481,1240,38.79
2017-08-18,504,1240,40.65
2017-08-21,528,1241,42.55
2017-08-22,542,1241,43.67
2017-08-23,520,1241,41.9
2017-08-24,507,1242,40.82
2017-08-28,486,1243,39.1
2017-08-29,504,1243,40.55
2017-08-30,476,1243,38.29
2017-08-31,458,1243,36.85
2017-09-01,432,1243,34.75
2017-09-04,459,1243,36.93
2017-09-05,444,1243,35.72
2017-09-06,429,1243,34.51
2017-09-07,419,1243,33.71
2017-09-08,420,1245,33.73
2017-09-11,417,1245,33.49
2017-09-12,399,1245,32.05
2017-09-13,421,1245,33.82
2017-09-14,409,1245,32.85
2017-09-15,407,1246,32.66
2017-09-18,391,1247,31.36
2017-09-19,392,1247,31.44
2017-09-20,386,1247,30.95
2017-09-21,395,1247,31.68
2017-09-22,468,1247,37.53
2017-09-25,511,1248,40.95
2017-09-26,490,1248,39.26
2017-09-27,564,1248,45.19
2017-09-28,544,1249,43.55
2017-09-29,520,1249,41.63
2017-10-03,511,1250,40.88
2017-10-04,500,1251,39.97
2017-10-05,483,1251,38.61
2017-10-06,458,1252,36.58
2017-10-09,445,1252,35.54
2017-10-10,435,1252,34.74
2017-10-11,450,1252,35.94
2017-10-12,441,1252,35.22
2017-10-13,436,1252,34.82
2017-10-16,433,1252,34.58
2017-10-17,429,1252,34.27
2017-10-18,427,1253,34.08
2017-10-19,419,1254,33.41
2017-10-23,413,1254,32.93
2017-10-24,404,1254,32.22
2017-10-25,386,1254,30.78
2017-10-26,381,1255,30.36
2017-10-27,368,1255,29.32
2017-10-30,357,1255,28.45
2017-10-31,355,1255,28.29
2017-11-01,339,1255,27.01
2017-11-02,325,1255,25.9
2017-11-03,310,1255,24.7
2017-11-06,303,1256,24.12
2017-11-07,339,1256,26.99
2017-11-08,370,1256,29.46
2017-11-09,361,1256,28.74
2017-11-10,367,1256,29.22
2017-11-13,384,1256,30.57
2017-11-14,401,1256,31.93
2017-11-15,448,1256,35.67
2017-11-16,418,1256,33.28
2017-11-17,410,1257,32.62
2017-11-20,381,1257,30.31
2017-11-21,367,1257,29.2
2017-11-22,376,1257,29.91
2017-11-23,361,1258,28.7
2017-11-24,347,1258,27.58
2017-11-27,328,1258,26.07
2017-11-28,324,1258,25.76
2017-11-29,323,1258,25.68
2017-11-30,344,1258,27.34
2017-12-01,349,1258,27.74
2017-12-04,365,1258,29.01
2017-12-05,377,1258,29.97
2017-12-06,396,1258,31.48
2017-12-07,365,1258,29.01
2017-12-08,344,1258,27.34
2017-12-11,340,1258,27.03
2017-12-12,349,1258,27.74
2017-12-13,367,1258,29.17
2017-12-14,375,1259,29.79
2017-12-15,360,1260,28.57
2017-12-18,356,1260,28.25
2017-12-19,321,1260,25.48
2017-12-20,305,1260,24.21
2017-12-21,275,1260,21.83
2017-12-22,264,1260,20.95
2017-12-26,263,1260,20.87
2017-12-27,245,1260,19.44
2017-12-28,247,1260,19.6
2017-12-29,245,1260,19.44
2018-01-01,237,1270,18.66
2018-01-02,241,1276,18.89
2018-01-03,229,1277,17.93
2018-01-04,215,1277,16.84
2018-01-05,194,1280,15.16
2018-01-08,180,1281,14.05
2018-01-09,174,1283,13.56
2018-01-10,177,1283,13.8
2018-01-11,177,1283,13.8
2018-01-12,172,1284,13.4
2018-01-15,169,1287,13.13
2018-01-16,212,1287,16.47
2018-01-17,212,1288,16.46
2018-01-18,254,1289,19.71
2018-01-19,253,1291,19.6
2018-01-22,244,1291,18.9
2018-01-23,257,1291,19.91
2018-01-24,274,1293,21.19
2018-01-25,285,1293,22.04
2018-01-29,323,1293,24.98
2018-01-30,364,1293,28.15
2018-01-31,379,1293,29.31
2018-02-01,379,1294,29.29
2018-02-02,521,1294,40.26
2018-02-05,542,1294,41.89
2018-02-06,625,1295,48.26
2018-02-07,553,1295,42.7
2018-02-08,478,1295,36.91
2018-02-09,479,1295,36.99
2018-02-12,425,1295,32.82
2018-02-14,421,1296,32.48
2018-02-15,466,1297,35.93
2018-02-16,513,1297,39.55
2018-02-19,559,1297,43.1
2018-02-20,566,1297,43.64
2018-02-21,582,1297,44.87
2018-02-22,593,1298,45.69
2018-02-23,549,1299,42.26
2018-02-26,529,1299,40.72
2018-02-27,546,1299,42.03
2018-02-28,568,1299,43.73
2018-03-01,570,1299,43.88
2018-03-05,627,1299,48.27
2018-03-06,665,1299,51.19
2018-03-07,721,1300,55.46
2018-03-08,726,1300,55.85
2018-03-09,738,1300,56.77
2018-03-12,721,1300,55.46
2018-03-13,714,1300,54.92
2018-03-14,708,1300,54.46
2018-03-15,689,1301,52.96
2018-03-16,723,1301,55.57
2018-03-19,784,1301,60.26
2018-03-20,790,1301,60.72
2018-03-21,782,1301,60.11
2018-03-22,814,1301,62.57
2018-03-23,864,1301,66.41
2018-03-26,844,1301,64.87
2018-03-27,826,1301,63.49
2018-03-28,833,1301,64.03
2018-04-02,784,1301,60.26
2018-04-03,740,1301,56.88
2018-04-04,747,1301,57.42
2018-04-05,681,1301,52.34
2018-04-06,671,1301,51.58
2018-04-09,656,1302,50.38
2018-04-10,651,1302,50.0
2018-04-11,655,1302,50.31
2018-04-12,665,1302,51.08
2018-04-13,657,1302,50.46
2018-04-16,655,1303,50.27
2018-04-17,643,1303,49.35
2018-04-18,649,1303,49.81
2018-04-19,630,1305,48.28
2018-04-20,645,1305,49.43
2018-04-23,638,1306,48.85
2018-04-24,652,1306,49.92
2018-04-25,682,1306,52.22
2018-04-26,682,1306,52.22
2018-04-27,666,1306,51.0
2018-04-30,656,1307,50.19
2018-05-02,698,1307,53.4
2018-05-03,720,1309,55.0
2018-05-04,739,1309,56.46
2018-05-07,730,1309,55.77
2018-05-08,728,1310,55.57
2018-05-09,740,1311,56.45
2018-05-10,775,1312,59.07
2018-05-11,789,1312,60.14
2018-05-14,803,1314,61.11
2018-05-15,826,1317,62.72
2018-05-16,840,1317,63.78
2018-05-17,827,1322,62.56
2018-05-18,860,1323,65.0
2018-05-21,903,1325,68.15
2018-05-22,887,1325,66.94
2018-05-23,901,1326,67.95
2018-05-24,915,1328,68.9
2018-05-25,889,1328,66.94
2018-05-28,872,1328,65.66
2018-05-29,875,1330,65.79
2018-05-30,875,1330,65.79
2018-05-31,893,1331,67.09
2018-06-01,930,1332,69.82
2018-06-04,988,1332,74.17
2018-06-05,1040,1332,78.08
2018-06-06,1016,1332,76.28
2018-06-07,971,1332,72.9
2018-06-08,953,1332,71.55
2018-06-11,957,1333,71.79
2018-06-12,942,1334,70.61
2018-06-13,950,1335,71.16
2018-06-14,953,1335,71.39
2018-06-15,959,1335,71.84
2018-06-18,978,1335,73.26
2018-06-19,999,1335,74.83
2018-06-20,996,1336,74.55
2018-06-21,1018,1336,76.2
2018-06-22,1015,1337,75.92
2018-06-25,1038,1337,77.64
2018-06-26,1051,1337,78.61
2018-06-27,1087,1337,81.3
2018-06-28,1112,1338,83.11
2018-06-29,1084,1338,81.02
2018-07-02,1096,1338,81.91
2018-07-03,1084,1338,81.02
2018-07-04,1079,1338,80.64
2018-07-05,1089,1340,81.27
2018-07-06,1089,1340,81.27
2018-07-09,1064,1340,79.4
2018-07-10,1050,1342,78.24
2018-07-11,1057,1343,78.7
2018-07-12,1061,1344,78.94
2018-07-13,1076,1344,80.06
2018-07-16,1107,1346,82.24
2018-07-17,1100,1346,81.72
2018-07-18,1119,1346,83.14
2018-07-19,1132,1347,84.04
2018-07-20,1131,1348,83.9
2018-07-23,1120,1349,83.02
2018-07-24,1099,1352,81.29
2018-07-25,1088,1353,80.41
2018-07-26,1084,1353,80.12
2018-07-27,1072,1353,79.23
2018-07-30,1061,1356,78.24
2018-07-31,1057,1357,77.89
2018-08-01,1051,1358,77.39
2018-08-02,1058,1359,77.85
2018-08-03,1036,1360,76.18
2018-08-06,1030,1360,75.74
2018-08-07,1028,1362,75.48
2018-08-08,1034,1362,75.92
2018-08-09,1032,1363,75.72
2018-08-10,1043,1363,76.52
2018-08-13,1062,1363,77.92
2018-08-14,1050,1363,77.04
2018-08-16,1058,1363,77.62
2018-08-17,1045,1363,76.67
2018-08-20,1031,1364,75.59
2018-08-21,1028,1364,75.37
2018-08-23,1028,1365,75.31
2018-08-24,1028,1366,75.26
2018-08-27,1020,1366,74.67
2018-08-28,1015,1366,74.3
2018-08-29,1017,1367,74.4
2018-08-30,995,1368,72.73
2018-08-31,987,1369,72.1
2018-09-03,984,1369,71.88
2018-09-04,1024,1370,74.74
2018-09-05,1035,1371,75.49
2018-09-06,1013,1371,73.89
2018-09-07,990,1371,72.21
2018-09-10,1007,1371,73.45
2018-09-11,1048,1371,76.44
2018-09-12,1041,1372,75.87
2018-09-14,1011,1372,73.69
2018-09-17,999,1372,72.81
2018-09-18,1028,1372,74.93
2018-09-19,1037,1372,75.58
2018-09-21,1082,1373,78.81
2018-09-24,1120,1373,81.57
2018-09-25,1125,1373,81.94
2018-09-26,1129,1373,82.23
2018-09-27,1146,1373,83.47
2018-09-28,1186,1374,86.32
2018-10-01,1188,1376,86.34
2018-10-03,1183,1377,85.91
2018-10-04,1211,1377,87.94
2018-10-05,1231,1377,89.4
2018-10-08,1241,1378,90.06
2018-10-09,1249,1378,90.64
2018-10-10,1206,1378,87.52
2018-10-11,1230,1378,89.26
2018-10-12,1194,1379,86.58
2018-10-15,1183,1379,85.79
2018-10-16,1157,1380,83.84
2018-10-17,1179,1380,85.43
2018-10-19,1192,1380,86.38
2018-10-22,1202,1381,87.04
2018-10-23,1222,1381,88.49
2018-10-24,1220,1381,88.34
2018-10-25,1222,1382,88.42
2018-10-26,1225,1383,88.58
2018-10-29,1199,1383,86.7
2018-10-30,1189,1383,85.97
2018-10-31,1180,1383,85.32
2018-11-01,1170,1383,84.6
2018-11-02,1163,1384,84.03
2018-11-05,1156,1385,83.47
2018-11-06,1156,1385,83.47
2018-11-07,1136,1385,82.02
2018-11-09,1130,1385,81.59
2018-11-12,1133,1386,81.75
2018-11-13,1127,1386,81.31
2018-11-14,1119,1387,80.68
2018-11-15,1116,1387,80.46
2018-11-16,1123,1387,80.97
2018-11-19,1123,1387,80.97
2018-11-20,1132,1388,81.56
2018-11-21,1128,1389,81.21
2018-11-22,1137,1390,81.8
2018-11-26,1143,1390,82.23
2018-11-27,1135,1390,81.65
2018-11-28,1140,1391,81.96
2018-11-29,1133,1391,81.45
2018-11-30,1116,1391,80.23
2018-12-03,1109,1392,79.67
2018-12-04,1113,1392,79.96
2018-12-05,1132,1392,81.32
2018-12-06,1154,1392,82.9
2018-12-07,1158,1393,83.13
2018-12-10,1179,1393,84.64
2018-12-11,1161,1394,83.29
2018-12-12,1119,1394,80.27
2018-12-13,1105,1394,79.27
2018-12-14,1109,1395,79.5
2018-12-17,1100,1395,78.85
2018-12-18,1082,1397,77.45
2018-12-19,1070,1398,76.54
2018-12-20,1060,1398,75.82
2018-12-21,1079,1398,77.18
2018-12-24,1103,1399,78.84
2018-12-26,1101,1399,78.7
2018-12-27,1092,1399,78.06
2018-12-28,1069,1399,76.41
2018-12-31,1053,1400,75.21
2019-01-01,1048,1401,74.8
2019-01-02,1062,1401,75.8
2019-01-03,1084,1401,77.37
2019-01-04,1075,1403,76.62
2019-01-07,1073,1403,76.48
2019-01-08,1074,1403,76.55
2019-01-09,1077,1403,76.76
2019-01-10,1077,1403,76.76
2019-01-11,1079,1404,76.85
2019-01-14,1086,1406,77.24
2019-01-15,1065,1406,75.75
2019-01-16,1060,1407,75.34
2019-01-17,1068,1407,75.91
2019-01-18,1085,1409,77.0
2019-01-21,1094,1409,77.64
2019-01-22,1107,1411,78.45
2019-01-23,1111,1412,78.68
2019-01-24,1120,1412,79.32
2019-01-25,1150,1413,81.39
2019-01-28,1185,1413,83.86
2019-01-29,1177,1413,83.3
2019-01-30,1179,1413,83.44
2019-01-31,1167,1415,82.47
2019-02-01,1164,1416,82.2
2019-02-04,1179,1416,83.26
2019-02-05,1186,1417,83.7
2019-02-06,1180,1417,83.27
2019-02-07,1169,1417,82.5
2019-02-08,1180,1417,83.27
2019-02-11,1197,1417,84.47
2019-02-12,1203,1419,84.78
2019-02-14,1211,1421,85.22
2019-02-15,1232,1421,86.7
2019-02-18,1230,1421,86.56
2019-02-19,1218,1421,85.71
2019-02-20,1218,1421,85.71
2019-02-21,1204,1422,84.67
2019-02-22,1195,1422,84.04
2019-02-25,1181,1423,82.99
2019-02-26,1181,1423,82.99
2019-02-27,1175,1424,82.51
2019-02-28,1153,1424,80.97
2019-03-01,1124,1425,78.88
2019-03-05,1074,1426,75.32
2019-03-06,1040,1426,72.93
2019-03-07,1034,1426,72.51
2019-03-08,1044,1426,73.21
2019-03-11,990,1427,69.38
2019-03-12,944,1427,66.15
2019-03-13,956,1427,66.99
2019-03-14,955,1427,66.92
2019-03-15,978,1429,68.44
2019-03-18,982,1429,68.72
2019-03-19,963,1430,67.34
2019-03-20,978,1430,68.39
2019-03-22,996,1431,69.6
2019-03-25,1030,1431,71.98
2019-03-26,1011,1431,70.65
2019-03-27,986,1431,68.9
2019-03-28,961,1431,67.16
2019-04-01,901,1431,62.96
2019-04-02,917,1431,64.08
2019-04-03,925,1431,64.64
2019-04-04,931,1431,65.06
2019-04-05,904,1432,63.13
2019-04-08,922,1432,64.39
2019-04-09,921,1432,64.32
2019-04-10,929,1434,64.78
2019-04-11,928,1434,64.71
2019-04-12,907,1436,63.16
2019-04-15,885,1436,61.63
2019-04-16,886,1436,61.7
2019-04-18,911,1436,63.44
2019-04-22,950,1436,66.16
2019-04-23,960,1438,66.76
2019-04-24,946,1440,65.69
2019-04-25,939,1440,65.21
2019-04-26,951,1441,66.0
2019-04-30,994,1442,68.93
2019-05-02,989,1444,68.49
2019-05-03,1003,1445,69.41
2019-05-06,1023,1447,70.7
2019-05-07,1035,1448,71.48
2019-05-08,1065,1448,73.55
2019-05-09,1080,1448,74.59
2019-05-10,1083,1448,74.79
2019-05-13,1123,1449,77.5
2019-05-14,1124,1449,77.57
2019-05-15,1122,1449,77.43
2019-05-16,1129,1449,77.92
2019-05-17,1111,1449,76.67
2019-05-20,1019,1449,70.32
2019-05-21,1044,1449,72.05
2019-05-22,1035,1449,71.43
2019-05-23,1033,1450,71.24
2019-05-24,960,1450,66.21
2019-05-27,880,1451,60.65
2019-05-28,874,1451,60.23
2019-05-29,883,1451,60.85
2019-05-30,878,1451,60.51
2019-05-31,908,1451,62.58
2019-06-03,906,1451,62.44
2019-06-04,903,1452,62.19
2019-06-06,938,1452,64.6
2019-06-07,959,1452,66.05
2019-06-10,959,1453,66.0
2019-06-11,969,1453,66.69
2019-06-12,974,1453,67.03
2019-06-13,987,1453,67.93
2019-06-14,1000,1453,68.82
2019-06-17,1037,1453,71.37
2019-06-18,1053,1453,72.47
2019-06-19,1078,1453,74.19
2019-06-20,1066,1454,73.31
2019-06-21,1060,1454,72.9
2019-06-24,1057,1454,72.7
2019-06-25,1049,1454,72.15
2019-06-26,1030,1455,70.79
2019-06-27,1020,1455,70.1
2019-06-28,1013,1455,69.62
2019-07-01,1007,1455,69.21
2019-07-02,1006,1455,69.14
2019-07-03,992,1455,68.18
2019-07-04,990,1455,68.04
2019-07-05,1022,1455,70.24
2019-07-08,1073,1455,73.75
2019-07-09,1071,1455,73.61
2019-07-10,1080,1455,74.23
2019-07-11,1077,1456,73.97
2019-07-12,1066,1456,73.21
2019-07-15,1078,1458,73.94
2019-07-16,1074,1458,73.66
2019-07-17,1066,1458,73.11
2019-07-18,1087,1459,74.5
2019-07-19,1128,1459,77.31
2019-07-22,1144,1460,78.36
2019-07-23,1142,1460,78.22
2019-07-24,1155,1461,79.06
2019-07-25,1162,1461,79.53
2019-07-26,1148,1461,78.58
2019-07-29,1163,1462,79.55
2019-07-30,1198,1462,81.94
2019-07-31,1184,1463,80.93
2019-08-01,1210,1464,82.65
2019-08-02,1219,1465,83.21
2019-08-05,1245,1465,84.98
2019-08-06,1228,1466,83.77
2019-08-07,1231,1466,83.97
